物件ID,種別,物件名,販売価格,所在地,沿線・駅,間取り,土地面積（m2）,建物面積（m2）,坪単価（万円／坪）,URL,情報取得日,築年月（年数換算）,沿線,駅,徒歩,最小最大,追加年月日,削除年月日
0057c4935b0b,土地,岐阜県岐阜市茶屋新田,506.0,岐阜県岐阜市茶屋新田,,,334.0,,5.01,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_4bd4c7d5bff3335db394510b7227d9b2/,2026-01-17,,,,,,2026-01-11,
00594cd6d6ee,建物,一宮市開明字西屋敷　全1棟,2790.0,愛知県一宮市開明字西屋敷,名鉄尾西線「開明」駅まで 徒歩 14分,4LDK,118.53,99.36,,https://sumaity.com/house_new/prop_10092160/,2026-01-17,0.0,名鉄尾西線,開明,14.0,,2026-01-11,
005b9cfd6e54,土地,■南東角地■建築条件なし・注文住宅もご提案可能■丹陽小学校まで徒歩9分,1690.0,愛知県一宮市三ツ井８,名鉄犬山線「岩倉」徒歩43分,,124.88,,44.74,https://suumo.jp/tochi/aichi/sc_ichinomiya/nc_79172700/,2026-01-17,,名鉄犬山線,岩倉,43.0,最小,2026-01-14,
00619f465b9a,土地,岐阜県岐阜市加納本町９丁目,9500.0,岐阜県岐阜市加納本町９丁目,東海道本線/岐阜駅 徒歩13分,,526.81,,59.61,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_33af2b5a441534e790e2e5c082541d84/,2026-01-17,,東海道本線,岐阜,13.0,,2026-01-11,
00651eb64961,土地,岐阜県各務原市小佐野町７丁目,1444.74,岐阜県各務原市小佐野町７丁目,名鉄各務原線/新加納駅 徒歩21分,,796.0,,6.0,https://myhome.nifty.com/tochi/gifu/kakamigaharashi_ct/detail_a9e15837571f3b5289ccf5830c29da8c/,2026-01-17,,名鉄各務原線,新加納,21.0,,2026-01-11,
006abfd357fa,土地,愛知県一宮市大和町戸塚,1248.0,愛知県一宮市大和町戸塚,名鉄名古屋本線/妙興寺駅 徒歩15分,,210.19,,19.63,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_88d0c7e4ec953a01987a1873a36eb184/,2026-01-17,,名鉄名古屋本線,妙興寺,15.0,,2026-01-11,
006fee0f4426,建物,一宮市三条字田畑,1730.0,愛知県一宮市三条字田畑,東海道線 尾張一宮駅までバス約11分 尾張三条バス停 徒歩3分,4LDK,144.37,110.95,,https://sumaity.com/house/used/aichi_prop/prop_18430773/,2026-01-17,17.39,東海道線,尾張一宮,,,2026-01-11,
0085aa0f30ec,土地,長良友瀬（名鉄岐阜駅） 4800万円,4800.0,岐阜県岐阜市長良友瀬,名鉄名古屋本線「名鉄岐阜」徒歩74分,,792.0,,20.1,https://suumo.jp/tochi/gifu/sc_gifu/nc_78860972/,2026-01-17,,名鉄名古屋本線,名鉄岐阜,74.0,,2026-01-11,
0090154cd944,土地,岐阜県岐阜市柳津町上佐波,780.0,岐阜県岐阜市柳津町上佐波,名鉄竹鼻線/柳津駅 徒歩31分,,166.41,,15.5,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_8be4c698b27c3a19a9a316f3c5fe6375/,2026-01-17,,名鉄竹鼻線,柳津,31.0,,2026-01-11,
0091a36975dd,土地,愛知県一宮市高田字郷廻り,1098.0,愛知県一宮市高田字郷廻り,名鉄名古屋本線/石刀駅 徒歩35分,,193.27,,18.78,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_cb0b8f796d233c9d83b4c1f33bcc9fa9/,2026-01-17,,名鉄名古屋本線,石刀,35.0,,2026-01-11,
00987c502d26,建物,◆50坪超え◆広々7LDK◆和室◆広縁◆角地◆収納豊富◆陽当り通風良好◆,1600.0,岐阜県岐阜市鷺山字中洙,名鉄各務原線「名鉄岐阜」徒歩65分,7LDK+S,265.87,213.19,,https://suumo.jp/chukoikkodate/gifu/sc_gifu/nc_79026188/,2026-01-17,42.33,名鉄各務原線,名鉄岐阜,65.0,,2026-01-11,
00990aba759d,土地,岐阜県岐阜市長良子正賀,648.0,岐阜県岐阜市長良子正賀,JR東海道本線/岐阜駅 徒歩1分 バス24分,,119.01,,18.0,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_02db55c433543c239f34db06ee03499d/,2026-01-17,,JR東海道本線,岐阜,1.0,,2026-01-11,
00a04fa9ee7c,建物,一宮市第1三条山　全5棟　2号棟,2780.0,愛知県一宮市三条字山,名鉄尾西線「二子」駅まで 徒歩 34分,4LDK,161.98,100.04,,https://sumaity.com/house_new/prop_10082424/,2026-01-17,0.0,名鉄尾西線,二子,34.0,,2026-01-11,
00a108ffb24e,土地,愛知県一宮市木曽川町黒田一ノ通り,1900.0,愛知県一宮市木曽川町黒田一ノ通り,名鉄名古屋本線/石刀駅 徒歩13分,,721.78,,8.7,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_3efc9b5a5150398c8187a8657a1f0915/,2026-01-17,,名鉄名古屋本線,石刀,13.0,,2026-01-11,
00a25f8060f2,土地,愛知県一宮市木曽川町黒田十ノ通り,1050.0,愛知県一宮市木曽川町黒田十ノ通り,東海道本線/木曽川駅 徒歩15分,,347.0,,10.0,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_69136672a98937a59e26c94b60ea3caf/,2026-01-17,,東海道本線,木曽川,15.0,,2026-01-11,
00a8e3f3c927,土地,岐阜県羽島市福寿町本郷,450.0,岐阜県羽島市福寿町本郷,名鉄竹鼻・羽島線/羽島市役所前駅 徒歩15分,,168.0,,8.85,https://myhome.nifty.com/tochi/gifu/hashimashi_ct/detail_23b2cb3c01943b4f9579aa398797360a/,2026-01-17,,名鉄竹鼻・羽島線,羽島市役所前,15.0,,2026-01-11,
00aba26ef3f9,土地,岐阜県各務原市那加雄飛ケ丘町,800.0,岐阜県各務原市那加雄飛ケ丘町,名鉄各務原線/各務原市役所前駅 徒歩7分,,167.73,,15.77,https://myhome.nifty.com/tochi/gifu/kakamigaharashi_ct/detail_060d6c1106cc3ee2bd74dc96fb8d76a6/,2026-01-17,,名鉄各務原線,各務原市役所前,7.0,,2026-01-11,
00b2187e7f2d,土地,岐阜県岐阜市大洞緑山１丁目,850.0,岐阜県岐阜市大洞緑山１丁目,,,222.6,,12.62,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_65f07d6179523feca64810c039ed74c1/,2026-01-17,,,,,,2026-01-14,
00c145ee8738,建物,一宮市赤見小学校西　全3棟　2号棟,2779.0,愛知県一宮市大赤見字神明東38-1,名鉄尾西線「名鉄一宮」駅 徒歩41分,4LDK,229.92,105.17,,https://sumaity.com/house_new/prop_9930093/,2026-01-17,0.0,名鉄尾西線,名鉄一宮,41.0,,2026-01-11,
00c35ac4ddb2,土地,愛知県一宮市今伊勢町馬寄,1000.0,愛知県一宮市今伊勢町馬寄,名鉄名古屋本線/石刀駅 徒歩18分,,104.53,,31.63,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_4db1552130e437aeac5090f477af74c6/,2026-01-17,,名鉄名古屋本線,石刀,18.0,,2026-01-11,
00ce2ab9635c,土地,岐阜県岐阜市粟野西６丁目,2000.0,岐阜県岐阜市粟野西６丁目,,,477.24,,13.85,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_1dccf8ad807d33649062d81b671e7cee/,2026-01-17,,,,,,2026-01-11,
00d066c0c2b2,建物,岐阜県各務原市鵜沼西町,3680.0,岐阜県各務原市鵜沼西町,名鉄各務原線/鵜沼宿駅 徒歩12分,4LDK,167.22,115.09,72.75,https://myhome.nifty.com/shinchiku-ikkodate/gifu/kakamigaharashi_ct/detail_2da152656b2d3c6e808f8fefc97b6db4/,2026-01-17,0.0,名鉄各務原線,鵜沼宿,12.0,,2026-01-11,
00d242cabf48,建物,岐阜県岐阜市大洞柏台,980.0,岐阜県岐阜市大洞柏台,長良川鉄道/せきてらす前駅 徒歩88分,4LDK+S,192.37,116.46,16.84,https://myhome.nifty.com/chuko-ikkodate/gifu/gifushi_ct/detail_a5ee442470283b399ae172204b0028ef/,2026-01-17,50.75,長良川鉄道,せきてらす前,88.0,,2026-01-11,
00df99356d76,建物,岐阜県岐阜市粟野西７丁目,1399.0,岐阜県岐阜市粟野西７丁目,東海道本線/岐阜駅 徒歩135分,3LDK,144.84,104.33,31.93,https://myhome.nifty.com/chuko-ikkodate/gifu/gifushi_ct/detail_d1ddbfd8ceb83bbc9c1c722511100137/,2026-01-17,45.42,東海道本線,岐阜,135.0,,2026-01-11,
00e351c85892,建物,岐阜県岐阜市野一色,2580.0,岐阜県岐阜市野一色,JR高山本線「長森」駅 車で約3km 名鉄各務原線「切通」駅 徒歩34分 名鉄各務原線「手力」駅 徒歩34分,4LDK,161.07,96.06,52.95,https://myhome.nifty.com/shinchiku-ikkodate/gifu/gifushi_ct/detail_79aca07eec75312cac277f23bc58fd51/,2026-01-17,0.0,,,34.0,,2026-01-11,
01096a3a815a,土地,岐阜県羽島郡笠松町北及,1200.0,岐阜県羽島郡笠松町北及,名鉄竹鼻・羽島線/柳津駅 徒歩22分,,235.0,,16.88,https://myhome.nifty.com/tochi/gifu/hashimagunkasamatsucho_ct/detail_0c31f2198e1134bab5354ea95f322f45/,2026-01-17,,名鉄竹鼻・羽島線,柳津,22.0,,2026-01-11,
010c4b1d58b9,土地,岐阜県各務原市那加桐野町６丁目,1174.0,岐阜県各務原市那加桐野町６丁目,名鉄各務原線/高田橋駅 徒歩37分,,776.0,,5.0,https://myhome.nifty.com/tochi/gifu/kakamigaharashi_ct/detail_88c5b3a030d93ddd8a0734817b079e67/,2026-01-17,,名鉄各務原線,高田橋,37.0,,2026-01-11,
010d95d3ecd8,建物,岐阜県羽島市堀津町須賀中,2490.0,岐阜県羽島市堀津町須賀中,名鉄羽島線/新羽島駅 徒歩21分,4LDK,237.12,105.99,34.71,https://myhome.nifty.com/shinchiku-ikkodate/gifu/hashimashi_ct/detail_5fde372614f236a384d135bf97326035/,2026-01-17,0.0,名鉄羽島線,新羽島,21.0,,2026-01-11,
0112612ae8fb,土地,岐阜県岐阜市洞,660.0,岐阜県岐阜市洞,,,177.21,,12.31,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_0eb93ef41d93398e8f7200a196146c8a/,2026-01-17,,,,,,2026-01-11,
011c7ea767c7,建物,岐阜県岐阜市西秋沢２丁目,380.0,岐阜県岐阜市西秋沢２丁目,,5DK,148.56,50.5,8.46,https://myhome.nifty.com/chuko-ikkodate/gifu/gifushi_ct/detail_eb5a938df88831698f96b48966966a2b/,2026-01-17,44.33,,,,,2026-01-11,
0122d956e30f,土地,東鶉２（柳津駅） 970万円～1250万円,970.0,岐阜県岐阜市東鶉２-113番,名鉄竹鼻線「柳津」徒歩29分,,151.16,,21.21,https://suumo.jp/tochi/gifu/sc_gifu/nc_71609488/,2026-01-17,,名鉄竹鼻線,柳津,29.0,最小,2026-01-11,
0131207ac93b,建物,◆ヤマダ電機岐阜店・大垣店・一宮店で使えるで使える特別割引券をプレゼント！,880.0,岐阜県瑞穂市別府,JR東海道本線「穂積」徒歩8分,5DK,128.61,95.09,22.62,https://suumo.jp/chukoikkodate/gifu/sc_mizuho/nc_78884899/,2026-01-17,38.16,JR東海道本線,穂積,8.0,,2026-01-11,
0133b4560ac3,土地,岐阜県岐阜市若竹町２丁目,1572.0,岐阜県岐阜市若竹町２丁目,,,216.46,,24.01,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_41b5cc01599431e8a4736960f7ded89c/,2026-01-17,,,,,,2026-01-11,
014253e5fd05,建物,【ゆとりのある20帖のLDK】エアコン、浴室暖房乾燥機など嬉しい設備が…,3380.0,岐阜県岐阜市北一色３,名鉄各務原線「細畑」徒歩18分,5LDK,156.84,135.55,,https://suumo.jp/chukoikkodate/gifu/sc_gifu/nc_78683123/,2026-01-17,1.13,名鉄各務原線,細畑,18.0,,2026-01-11,
0147160a2759,土地,【セキスイハイム】ユナイテッドハイムパーク岐阜市則武【建築条件付土地】,1440.0,岐阜県岐阜市則武,JR東海道本線「岐阜」駅 岐阜バス乗車22分、正木マーサ前バス停 徒歩7分~8分,,215.31,,22.11,https://sumaity.com/house_new/prop_8941476/,2026-01-14,0.0,JR東海道本線,岐阜,,最大,2026-01-11,2026/01/17
0147c5169353,建物,一宮市千秋町加納馬場第7　全4棟　3号棟,2890.0,愛知県一宮市千秋町加納馬場字郷内166-8,名鉄犬山線「石仏」駅まで 徒歩 10分,4LDK,162.94,108.48,,https://sumaity.com/house_new/prop_10025798/,2026-01-11,0.0,名鉄犬山線,石仏,10.0,,2026-01-11,2026/01/14
014a1a5f797d,建物,リーブルガーデン　岐阜市島田　3号棟,2380.0,岐阜県岐阜市島田１丁目,JR東海道本線「西岐阜」駅まで 3.3km,5LDK,185.56,105.99,,https://sumaity.com/house_new/prop_10037257/,2026-01-17,0.0,JR東海道本線,西岐阜,,,2026-01-11,
01548eff038a,土地,苅安賀１（観音寺駅） 3080万円,3080.0,愛知県一宮市苅安賀１,名鉄尾西線「観音寺」徒歩9分,,233.0,,43.7,https://suumo.jp/tochi/aichi/sc_ichinomiya/nc_77968047/,2026-01-17,,名鉄尾西線,観音寺,9.0,,2026-01-11,
01574423502a,土地,岐阜県岐阜市境川４丁目,15.0,岐阜県岐阜市境川４丁目,名鉄竹鼻・羽島線/柳津駅 徒歩13分,,187.6,,0.26,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_c94f40722cb0308ab19fa2585c20b8ba/,2026-01-17,,名鉄竹鼻・羽島線,柳津,13.0,,2026-01-14,
015d3926bdad,土地,岐阜県岐阜市六条南１丁目,1750.0,岐阜県岐阜市六条南１丁目,東海道本線/岐阜駅 徒歩9分 バス9分,,165.29,,35.0,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_21e8d26b6679322b9e12697c6e7982f9/,2026-01-17,,東海道本線,岐阜,9.0,,2026-01-11,
0166ede08732,土地,岐阜県岐阜市早苗町６丁目,880.0,岐阜県岐阜市早苗町６丁目,東海道本線/岐阜駅 徒歩30分,,112.0,,25.97,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_25a2253a6cc638928cb1852be1fc768b/,2026-01-17,,東海道本線,岐阜,30.0,,2026-01-11,
0169baa4d955,土地,愛知県一宮市起,550.0,愛知県一宮市起,JR東海道本線/尾張一宮駅 徒歩2分 バス22分,,183.43,,9.91,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_08ca4680c48a37aa9fa0cd818c6539fe/,2026-01-17,,JR東海道本線,尾張一宮,2.0,,2026-01-11,
01813e0351c2,土地,愛知県一宮市祐久,870.0,愛知県一宮市祐久,名鉄尾西線/萩原駅 徒歩40分,,200.0,,14.38,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_92cbe73f1c623c0a8a368990c09380ab/,2026-01-17,,名鉄尾西線,萩原,40.0,,2026-01-11,
018501b1a50b,建物,【全室2面採光◎】光熱費を抑えられるオール電化住宅です♪,3150.0,岐阜県岐阜市六条江東１,名鉄名古屋本線「岐南」車3.3km,4LDK,173.43,108.48,,https://suumo.jp/chukoikkodate/gifu/sc_gifu/nc_78917499/,2026-01-17,3.88,名鉄名古屋本線,岐南,,,2026-01-11,
018a0fdbbef4,土地,岐阜県岐阜市木田3丁目,600.0,岐阜県岐阜市木田3丁目,樽見鉄道/北方真桑駅 徒歩62分,,198.68,,9.98,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_22d198f918c3319bb7e01b60c5af9d6d/,2026-01-17,,樽見鉄道,北方真桑,62.0,,2026-01-11,
0190c8cae909,建物,◎敷地面積　２３０．８０㎡（約６９．８１坪）◎北西角地,3200.0,愛知県一宮市開明字小原道東,名鉄尾西線「奥町」徒歩10分,3LDK,230.8,112.86,,https://suumo.jp/chukoikkodate/aichi/sc_ichinomiya/nc_78789938/,2026-01-17,6.55,名鉄尾西線,奥町,10.0,,2026-01-11,
019f5e1ee161,建物,【ミタカ不動産】2世帯住宅にもオススメ♪駐車場3台分可◎南向き！,4500.0,愛知県一宮市大和町毛受字西屋敷,名鉄尾西線「観音寺」徒歩24分,7LLDDKK+S,292.69,226.58,,https://suumo.jp/chukoikkodate/aichi/sc_ichinomiya/nc_78687237/,2026-01-17,25.15,名鉄尾西線,観音寺,24.0,,2026-01-11,
01af1cfb3475,土地,鵜沼三ツ池町３（二十軒駅） 1200万円～1240万円,1200.0,岐阜県各務原市鵜沼三ツ池町３-204-2,名鉄各務原線「二十軒」徒歩2分,,163.5,,24.26,https://suumo.jp/tochi/gifu/sc_kakamigahara/nc_76943740/,2026-01-17,,名鉄各務原線,二十軒,2.0,最小,2026-01-11,
01bb1e8ce6b4,建物,岐阜県岐阜市清本町,2690.0,岐阜県岐阜市清本町,JR東海道本線/西岐阜駅 徒歩19分,4LDK,187.41,124.18,47.45,https://myhome.nifty.com/chuko-ikkodate/gifu/gifushi_ct/detail_b35a17be619c3918bbf3438f2ae7df73/,2026-01-17,13.83,JR東海道本線,西岐阜,19.0,,2026-01-11,
01c2a1720e8b,建物,◆敷地面積75坪以上×庭のある住まい◆耐震等級3/長期優良住宅/駐車4台可,3480.0,岐阜県羽島市竹鼻町字宮西町1592-1他,名鉄竹鼻線「竹鼻」徒歩9分,5LDK,250.4,135.54,,https://suumo.jp/ikkodate/gifu/sc_hashima/nc_78648303/,2026-01-17,0.0,名鉄竹鼻線,竹鼻,9.0,最小,2026-01-11,
01c40645b611,建物,岐阜県岐阜市長良,900.0,岐阜県岐阜市長良,名鉄名古屋本線/名鉄岐阜駅 徒歩84分,3LDK,132.42,74.52,22.47,https://myhome.nifty.com/chuko-ikkodate/gifu/gifushi_ct/detail_b10066fe8bd73f77a0d6ae4c644a7403/,2026-01-17,50.25,名鉄名古屋本線,名鉄岐阜,84.0,,2026-01-11,
01c8f81449d9,建物,岐阜市鏡島　10号棟　全4棟,3580.0,岐阜県岐阜市鏡島,JR東海道本線 西岐阜駅までバス約6分 スーパー三心前バス停 徒歩5分 / JR東海道本線 岐阜駅までバス約15分 東鏡島バス停 徒歩7分,4LDK,150.1,120.48,78.85,https://sumaity.com/house/used/gifu_prop/prop_18255805/,2026-01-17,2.72,JR東海道本線,西岐阜,15.0,,2026-01-11,
01d1fce9a17b,建物,一宮市大和町氏永　1号棟　全3棟,2592.0,愛知県一宮市大和町氏永字北八畝割,名鉄名古屋本線「島氏永」駅まで 徒歩 5分,4LDK,191.73,109.09,,https://sumaity.com/house_new/prop_9871738/,2026-01-17,0.0,名鉄名古屋本線,島氏永,5.0,,2026-01-11,
01da04cbf14e,土地,愛知県一宮市多加木,1480.0,愛知県一宮市多加木,名鉄名古屋本線/妙興寺駅 徒歩28分,,160.18,,30.54,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_bbe12aa17d783e879c50ab70aef8e91c/,2026-01-17,,名鉄名古屋本線,妙興寺,28.0,,2026-01-11,
01e20c277036,土地,愛知県一宮市浅野字青石,1150.0,愛知県一宮市浅野字青石,東海道本線/尾張一宮駅 徒歩29分,,103.87,,36.6,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_f2f827ddee173e05bdd9530e6786e95f/,2026-01-11,,東海道本線,尾張一宮,29.0,,2026-01-11,2026/01/14
01eb4f6e44ab,土地,岐阜県岐阜市早田,1347.84,岐阜県岐阜市早田,,,247.54,,18.0,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_d6b19157bd983057946a42625aaea932/,2026-01-17,,,,,,2026-01-11,
01f191bae592,建物,一宮市時之島字寺前西,3400.0,愛知県一宮市時之島字寺前西,東海道線 尾張一宮駅までバス約22分 時之島バス停 徒歩5分 / 名鉄本線 名鉄一宮駅までバス約22分 時之島バス停 徒歩5分,3LDK,303.55,102.67,,https://sumaity.com/house/used/aichi_prop/prop_17751795/,2026-01-17,3.96,東海道線,尾張一宮,,,2026-01-11,
01f3d99d7240,建物,愛知県一宮市萩原町花井方,2490.0,愛知県一宮市萩原町花井方,名鉄尾西線/二子駅 徒歩26分,4LDK,164.22,103.27,50.12,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_ad89151d53883452bf0c340c1f772029/,2026-01-17,0.0,名鉄尾西線,二子,26.0,,2026-01-11,
01fad266cd56,建物,家具付き×家事ラク動線×開放感LDKの住まい,3995.0,岐阜県各務原市蘇原中央町２-7番,JR高山本線「蘇原」徒歩22分,3LDK,265.47,122.86,,https://suumo.jp/ikkodate/gifu/sc_kakamigahara/nc_79044642/,2026-01-17,0.0,JR高山本線,蘇原,22.0,,2026-01-11,
020388b9a4c0,土地,岐阜県羽島市福寿町平方１１丁目,1980.0,岐阜県羽島市福寿町平方１１丁目,,,369.0,,17.74,https://myhome.nifty.com/tochi/gifu/hashimashi_ct/detail_3b0c2e2f1a2e3da0957101b86e84fdb3/,2026-01-17,,,,,,2026-01-11,
021057dcb254,建物,岐阜県各務原市那加住吉町４丁目,1840.0,岐阜県各務原市那加住吉町４丁目,名鉄各務原線/六軒駅 徒歩11分,4LDK,178.95,103.77,33.99,https://myhome.nifty.com/chuko-ikkodate/gifu/kakamigaharashi_ct/detail_bb6b0e80a07434a491c6aaa4575ecf51/,2026-01-11,42.83,名鉄各務原線,六軒,11.0,,2026-01-11,2026/01/14
021588a14f0c,建物,馬見塚字郷前 2190万円,2190.0,愛知県一宮市馬見塚字郷前,名鉄名古屋本線「名鉄一宮」バス11分停歩13分,3LDK,98.44,81.97,,https://suumo.jp/ikkodate/aichi/sc_ichinomiya/nc_78591112/,2026-01-17,0.0,名鉄名古屋本線,名鉄一宮,,,2026-01-11,
0218eee20e1d,土地,岐阜県岐阜市養老町１丁目,1450.0,岐阜県岐阜市養老町１丁目,東海道本線/岐阜駅 徒歩3分 バス28分,,178.34,,26.88,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_7f2df153a84a38bd8190cd326c7b2bf1/,2026-01-17,,東海道本線,岐阜,3.0,,2026-01-11,
022cb1f12e38,土地,愛知県一宮市公園通５丁目,2430.0,愛知県一宮市公園通５丁目,名鉄名古屋本線/妙興寺駅 徒歩14分,,92.25,,87.08,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_47839ab01d453f71a88217600ae49a3a/,2026-01-17,,名鉄名古屋本線,妙興寺,14.0,,2026-01-14,
022d72c81473,土地,岐阜県各務原市蘇原瑞穂町,1530.0,岐阜県各務原市蘇原瑞穂町,名鉄各務原線/各務原市役所前駅 徒歩20分,,168.06,,30.1,https://myhome.nifty.com/tochi/gifu/kakamigaharashi_ct/detail_f6af77d42df63ce7a80439b35b6c2366/,2026-01-17,,名鉄各務原線,各務原市役所前,20.0,,2026-01-11,
