エリア,物件名,価格,所在地,沿線・駅,土地面積,建物面積,間取り,築年月,URL,情報取得日
愛知県一宮市,愛知県一宮市時之島字二本松西,950万円,愛知県一宮市時之島字二本松西,,247.76m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_0792be18dd273905841efba58be77e1a/,2026-02-01
愛知県一宮市,愛知県一宮市萩原町西宮重,2980万円,愛知県一宮市萩原町西宮重,名鉄尾西線/二子駅 徒歩17分,289.5m2,101.62m2,4LDK,新築,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_07bcf40ad5653029a82cace419585ea5/,2026-02-01
愛知県一宮市,愛知県一宮市大和町妙興寺字三十八社,"3,090万円",愛知県一宮市大和町妙興寺字三十八社,名鉄名古屋本線/妙興寺駅 徒歩14分,132.94m2,100.64m2,3LDK,1ヶ月,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_080761d42c993ea09cf89fd7a1e02860/,2026-02-01
愛知県一宮市,愛知県一宮市西五城字比丘尼道西,"1,050万円",愛知県一宮市西五城字比丘尼道西,名鉄尾西線/二子駅 徒歩28分,171.25m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_08505d87823237d5b268af4575b7e3de/,2026-02-01
愛知県一宮市,愛知県一宮市起字東茜屋,650万円,愛知県一宮市起字東茜屋,名鉄名古屋本線/名鉄一宮駅 徒歩2分 バス24分,139.82m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_0871dd8fb9e33b98a16104ac7c81ccf2/,2026-02-01
愛知県一宮市,愛知県一宮市祐久,800万円,愛知県一宮市祐久,名鉄尾西線/萩原駅 徒歩37分,376.7m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_08724e0886e83e188af04a4ad9aab49d/,2026-02-01
愛知県一宮市,愛知県一宮市北丹町29番3,"3,330万円",愛知県一宮市北丹町29番3,名鉄名古屋本線/今伊勢駅 徒歩17分,158.64m2,109.5m2,3LDK,新築,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_08959f71229f376da41b03559d350cfc/,2026-02-01
愛知県一宮市,愛知県一宮市起,550万円,愛知県一宮市起,ＪＲ東海道本線/尾張一宮駅 徒歩2分 バス22分,183.43m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_08ca4680c48a37aa9fa0cd818c6539fe/,2026-02-01
愛知県一宮市,愛知県一宮市篭屋１丁目,"1,232万円",愛知県一宮市篭屋１丁目,東海道本線/尾張一宮駅 徒歩4分 バス13分,162.98m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_08f2b3b6a875397081abd9611cc164af/,2026-02-01
愛知県一宮市,愛知県一宮市浅井町極楽寺字下田,"1,330万円",愛知県一宮市浅井町極楽寺字下田,東海道本線/木曽川駅,1325.29m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_0908df110ade317b9948b298fbb212ca/,2026-02-01
愛知県一宮市,愛知県一宮市萩原町西御堂字三反田,"5,000万円",愛知県一宮市萩原町西御堂字三反田,名鉄名古屋本線/国府宮駅,1997.0m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_091b1484b3063b56ac6019f423ca201b/,2026-02-01
愛知県一宮市,愛知県一宮市東印田町,"2,380万円",愛知県一宮市東印田町,名鉄名古屋本線/名鉄一宮駅 徒歩25分,149.75m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_09561a3443bc31c08472d8b5a1dedb42/,2026-02-01
愛知県一宮市,愛知県一宮市開明字西出,"3,480万円",愛知県一宮市開明字西出,名鉄尾西線/奥町駅 徒歩5分 バス1分,193.3m2,115.51m2,4LDK,新築,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_099b2afeb24e34cd92b82c4544c4f21f/,2026-02-01
愛知県一宮市,愛知県一宮市古金町２丁目,"1,780万円",愛知県一宮市古金町２丁目,JR東海道本線/尾張一宮駅 徒歩19分,106.72m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_09b305aa6d8130668bed8918918ca022/,2026-02-01
愛知県一宮市,愛知県一宮市奥町字三出西,"4,680万円",愛知県一宮市奥町字三出西,名鉄尾西線/玉ノ井駅 徒歩11分,795.49m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_09f4b9ac2c333a54a8e306a5feb79984/,2026-02-01
愛知県一宮市,愛知県一宮市大和町南高井,1390万円,愛知県一宮市大和町南高井,名鉄名古屋本線/島氏永駅 徒歩15分,144.14m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_0a33700b1d3e370e917939a4b87ccac5/,2026-02-01
愛知県一宮市,愛知県一宮市北方町北方字中大日一,"1,090万円",愛知県一宮市北方町北方字中大日一,名鉄名古屋本線/木曽川堤駅 徒歩22分,758.3m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_0a622c70fc45393bb3a3de67272341b9/,2026-02-01
愛知県一宮市,愛知県一宮市時之島字古野,"1,180万円",愛知県一宮市時之島字古野,東海道本線/尾張一宮駅 徒歩8分 バス22分,223.69m2,163.95m2,6LDK,22年9ヶ月,https://myhome.nifty.com/chuko-ikkodate/aichi/ichinomiyashi_ct/detail_10a2d93f6b2a39838235a8c8ae564975/,2026-02-01
愛知県一宮市,愛知県一宮市萩原町朝宮字狐土居,"3,600万円",愛知県一宮市萩原町朝宮字狐土居,名鉄尾西線/二子駅 徒歩15分,3429.0m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_10a97f44bbbc39f2a92359d48eec231b/,2026-02-01
愛知県一宮市,愛知県一宮市三条字ヱグロ,"2,390万円",愛知県一宮市三条字ヱグロ,名鉄尾西線/開明駅 徒歩24分,160.08m2,93.55m2,4LDK,2ヶ月,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_10b52d563645314ebc8dc3a297534001/,2026-02-01
愛知県一宮市,愛知県一宮市浅井町西浅井字弐軒家,"1,134万円",愛知県一宮市浅井町西浅井字弐軒家,名鉄名古屋本線/名鉄一宮駅 徒歩1分 バス17分,750.0m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_10bd646a009f3d0b9325d604581f3b08/,2026-02-01
愛知県一宮市,愛知県一宮市三条,2780万円,愛知県一宮市三条,名鉄尾西線/二子駅 徒歩31分,161.99m2,100.04m2,4LDK,新築,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_10d046ece6fa3c2696baaaaf2c089f18/,2026-02-01
愛知県一宮市,愛知県一宮市小信中島字西九反,"1,620万円",愛知県一宮市小信中島字西九反,名鉄尾西線/奥町駅 徒歩29分,201.62m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_10e67684b9d73a3389bd12a4c46df57e/,2026-02-01
愛知県一宮市,愛知県一宮市西小原町,730.55万円,愛知県一宮市西小原町,名鉄名古屋本線/名鉄一宮駅 徒歩9分 バス14分,483.0m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_110dc62006c93f1f9a848bf9f62dd763/,2026-02-01
愛知県一宮市,愛知県一宮市木曽川町玉ノ井,2980万円,愛知県一宮市木曽川町玉ノ井,名鉄尾西線/玉ノ井駅 徒歩10分,368.62m2,163.95m2,4LDK+S（納戸）,22年5ヶ月,https://myhome.nifty.com/chuko-ikkodate/aichi/ichinomiyashi_ct/detail_112f8d9163143e1c83eeecb8c9b07904/,2026-02-01
愛知県一宮市,愛知県一宮市瀬部字川原,656.39万円,愛知県一宮市瀬部字川原,,310.0m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_113cdbff6a23332282249a4ecfb33131/,2026-02-01
愛知県一宮市,愛知県一宮市時之島字帯田,"1,000万円",愛知県一宮市時之島字帯田,JR東海道本線/尾張一宮駅 徒歩7分 バス25分,342.98m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_115b0b8581603e2f9a8617201db7a9b4/,2026-02-01
愛知県一宮市,愛知県一宮市西五城字下須賀,"2,930万円",愛知県一宮市西五城字下須賀,名鉄尾西線/二子駅 徒歩3分 バス17分,200.0m2,116.76m2,4LDK,新築,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_116a297e84593afb92b7571c2655a9de/,2026-02-01
愛知県一宮市,愛知県一宮市瀬部,800万円,愛知県一宮市瀬部,ＪＲ東海道本線/尾張一宮駅 徒歩9分 バス25分,216.95m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_11ce579c8b62307a86dcf465d3df1215/,2026-02-01
愛知県一宮市,愛知県一宮市大和町妙興寺,2298万円,愛知県一宮市大和町妙興寺,名鉄名古屋本線/妙興寺駅 徒歩20分,245.52m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_11d2faa27a7d3767beefa1d3ea8269aa/,2026-02-01
愛知県一宮市,愛知県一宮市今伊勢町本神戸字中町48,"3,598万円",愛知県一宮市今伊勢町本神戸字中町48,名鉄名古屋本線/今伊勢駅 徒歩14分,132.25m2,107.87m2,3SLDK,1年4ヶ月,https://myhome.nifty.com/chuko-ikkodate/aichi/ichinomiyashi_ct/detail_11e8433b7ffb3b219304a9dbe68ec073/,2026-02-01
愛知県一宮市,愛知県一宮市奥町字三出西,"3,780万円",愛知県一宮市奥町字三出西,名鉄尾西線/玉ノ井駅 徒歩8分,139.14m2,122.57m2,4LDK,2年7ヶ月,https://myhome.nifty.com/chuko-ikkodate/aichi/ichinomiyashi_ct/detail_1249fd4e6c0638eba9449d8638b93c51/,2026-02-01
愛知県一宮市,愛知県一宮市大毛字神明廻,480万円,愛知県一宮市大毛字神明廻,名鉄名古屋本線/名鉄一宮駅 徒歩8分 バス19分,330.96m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_124c19432628345eb69f22f3a03c74cc/,2026-02-01
愛知県一宮市,愛知県一宮市萩原町西宮重,2980万円,愛知県一宮市萩原町西宮重,名鉄尾西線/二子駅 徒歩17分,292.54m2,101.62m2,4LDK,新築,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_12535fa376563d22a9b68f492a0ac83b/,2026-02-01
愛知県一宮市,愛知県一宮市起,2790万円,愛知県一宮市起,"名鉄尾西線/奥町駅,名鉄尾西線/玉ノ井駅,名鉄尾西線/開明駅",150.17m2,97.31m2,4LDK,新築,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_126fc84c13d931dbbba473345d785220/,2026-02-01
愛知県一宮市,愛知県一宮市光明寺字畳手,943万円,愛知県一宮市光明寺字畳手,名鉄名古屋本線/名鉄一宮駅 徒歩6分 バス22分,528.0m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_006aab7da58939c2ace1ec169aec2489/,2026-02-01
愛知県一宮市,愛知県一宮市九品町,3480万円,愛知県一宮市九品町,ＪＲ東海道本線/尾張一宮駅 徒歩24分,100.31m2,98.83m2,4LDK,1ヶ月,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_006dd3e1db783b8a8eed20ba55d55b9b/,2026-02-01
愛知県一宮市,愛知県一宮市浅野字大西,"2,420万円",愛知県一宮市浅野字大西,名鉄名古屋本線/名鉄一宮駅 徒歩9分 バス18分,228.24m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_0070b5e71c5a31878074fd870390d510/,2026-02-01
愛知県一宮市,愛知県一宮市東五城字北作野,"1,170万円",愛知県一宮市東五城字北作野,,145.46m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_007588bd8b9c3b109028d3afc6eac8a5/,2026-02-01
愛知県一宮市,愛知県一宮市丹羽,2980万円,愛知県一宮市丹羽,ＪＲ東海道本線/尾張一宮駅 徒歩2分 バス20分,148.94m2,122.46m2,2LDK,-,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_00879ab1b446359ca27acb531b308f18/,2026-02-01
愛知県一宮市,愛知県一宮市開明字小原道東,660万円,愛知県一宮市開明字小原道東,名鉄尾西線/奥町駅 徒歩9分,376.0m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_00b7339a09bd3945bf7f6d6b71d88182/,2026-02-01
愛知県一宮市,愛知県一宮市東印田町,"1,780万円",愛知県一宮市東印田町,名鉄名古屋本線/名鉄一宮駅 徒歩25分,221.45m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_00ceb5b5c8bf3b5cadb256e13f6cc69d/,2026-02-01
愛知県一宮市,愛知県一宮市朝日3丁目,"2,540万円",愛知県一宮市朝日3丁目,東海道本線/尾張一宮駅 徒歩29分,93.51m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_00d99459d18c323b833a28c23b80935c/,2026-02-01
愛知県一宮市,愛知県一宮市千秋町加納馬場,2790万円・2990万円,愛知県一宮市千秋町加納馬場,名鉄犬山線/石仏駅 徒歩12分,162.64m2,106.0m2,4LDK・5LDK,-,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_0132feff869739ba89c32d45ac60d02b/,2026-02-01
愛知県一宮市,愛知県一宮市西萩原字西浦,600万円,愛知県一宮市西萩原字西浦,,493.95m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_015f1537230133ae96462bf9f1b936ae/,2026-02-01
愛知県一宮市,愛知県一宮市萩原町萩原字庚申塚,560万円,愛知県一宮市萩原町萩原字庚申塚,名鉄尾西線/二子駅 徒歩4分,231.0m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_0160a0a3078d365598812d92b130e502/,2026-02-01
愛知県一宮市,愛知県一宮市大和町氏永字河北,"1,800万円",愛知県一宮市大和町氏永字河北,名鉄名古屋本線/島氏永駅 徒歩5分,497.0m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_01695f9785bd33a195b7b2d4f5cfae5d/,2026-02-01
愛知県一宮市,愛知県一宮市西萩原字中沼,"1,000万円",愛知県一宮市西萩原字中沼,名鉄尾西線/萩原駅 徒歩22分,161.08m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_017e56d4f29f38b1bbbc6c412c1c4c7b/,2026-02-01
愛知県一宮市,愛知県一宮市丹羽,1150万円,愛知県一宮市丹羽,ＪＲ東海道本線/尾張一宮駅 徒歩5分 バス17分,152.86m2,91.08m2,4DK,44年2ヶ月,https://myhome.nifty.com/chuko-ikkodate/aichi/ichinomiyashi_ct/detail_0180def674f638bca429751f2928b351/,2026-02-01
愛知県一宮市,愛知県一宮市花池,3980万円・4180万円,愛知県一宮市花池,名鉄名古屋本線/妙興寺駅 徒歩5分,116.56m2,103.11m2,4LDK+S（納戸）,-,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_01a3dec2e8d132b8bb831a755cb2432c/,2026-02-01
愛知県一宮市,愛知県一宮市小赤見字石塔,890万円,愛知県一宮市小赤見字石塔,名鉄名古屋本線/名鉄一宮駅 徒歩11分 バス23分,171.49m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_01d37e8270493a07a99ebde5092aadc8/,2026-02-01
愛知県一宮市,愛知県一宮市南印田１丁目,"4,980万円",愛知県一宮市南印田１丁目,JR東海道本線/尾張一宮駅 徒歩24分,145.71m2,127.54m2,4LDK,新築,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_042a3d396cbb3e619c3a31a9213e918a/,2026-02-01
愛知県一宮市,愛知県一宮市浅井町西浅井字郷裏,980万円,愛知県一宮市浅井町西浅井字郷裏,名鉄名古屋本線/名鉄一宮駅 徒歩6分 バス20分,330.65m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_0439e2c2314b3e3db34857da461bb259/,2026-02-01
愛知県一宮市,愛知県一宮市野口,4980万円,愛知県一宮市野口,名鉄名古屋本線/名鉄一宮駅 徒歩10分,87.89m2,134.16m2,5LDK,-,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_0482fab554603496877a09c851c24c0c/,2026-02-01
愛知県一宮市,愛知県一宮市小信中島字東屋敷,625万円,愛知県一宮市小信中島字東屋敷,名鉄尾西線/奥町駅 徒歩24分,119.26m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_049ae5220030384bb6b6fe5bcc12aa76/,2026-02-01
愛知県一宮市,愛知県一宮市大和町毛受字西屋敷,"1,498万円",愛知県一宮市大和町毛受字西屋敷,名鉄名古屋本線/名鉄一宮駅 徒歩23分,250.91m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_04b14ae41ce53cdd9ec03aa8249bbe8e/,2026-02-01
愛知県一宮市,愛知県一宮市南印田１丁目,"4,980万円",愛知県一宮市南印田１丁目,JR東海道本線/尾張一宮駅 徒歩24分,147.44m2,124.22m2,4LDK,新築,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_04db8aadf73731468ec338e49b7936ea/,2026-02-01
愛知県一宮市,愛知県一宮市三条,2980万円,愛知県一宮市三条,名鉄尾西線/二子駅 徒歩35分,161.91m2,99.63m2,4LDK,新築,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_0507a898fa32379ea2e3afcb44e7e771/,2026-02-01
愛知県一宮市,愛知県一宮市小信中島,3380万円,愛知県一宮市小信中島,名鉄尾西線/奥町駅 徒歩25分,156.93m2,126.7m2,5LDK,-,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_0540575f8afd3cb88f461e6b2eca1b6f/,2026-02-01
愛知県一宮市,愛知県一宮市佐千原字東出,588万円,愛知県一宮市佐千原字東出,名鉄名古屋本線/名鉄一宮駅 徒歩2分 バス14分,388.8m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_054644a38c6e39559f19164e88df2973/,2026-02-01
愛知県一宮市,愛知県一宮市東五城字南田尾,680万円,愛知県一宮市東五城字南田尾,,265.96m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_05c86110fca13484b0561cd2b073500a/,2026-02-01
愛知県一宮市,愛知県一宮市木曽川町外割田字西郷東,"1,380万円",愛知県一宮市木曽川町外割田字西郷東,名鉄名古屋本線/新木曽川駅 徒歩12分,219.65m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_0606929c1eeb3ec38976889512a124ce/,2026-02-01
愛知県一宮市,愛知県一宮市大和町馬引,3790万円,愛知県一宮市大和町馬引,名鉄尾西線/開明駅 徒歩19分,130.46m2,102.28m2,2LDK+2S（納戸）,-,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_061a8d93485b388582204b55c0e8b568/,2026-02-01
愛知県一宮市,愛知県一宮市栄,1590万円,愛知県一宮市栄,ＪＲ東海道本線/尾張一宮駅 徒歩8分,78.97m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_062471015e27340ea3ae79d7851f0da0/,2026-02-01
愛知県一宮市,愛知県一宮市浅野,1990万円,愛知県一宮市浅野,,387.58m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_0cbf2e2f8e4a3060b16bd395ed9c577e/,2026-02-01
愛知県一宮市,愛知県一宮市開明,2390万円,愛知県一宮市開明,名鉄尾西線/奥町駅 徒歩18分,143.35m2,117.78m2,3LDK,9年6ヶ月,https://myhome.nifty.com/chuko-ikkodate/aichi/ichinomiyashi_ct/detail_0d359363ab453161b80344aa5b3d6358/,2026-02-01
愛知県一宮市,愛知県一宮市定水寺,2690万円,愛知県一宮市定水寺,名鉄名古屋本線/名鉄一宮駅 徒歩2分 バス21分,166.36m2,99.38m2,4LDK,4ヶ月,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_0d41186a51e33cb2bb1c67b87330b1f7/,2026-02-01
愛知県一宮市,愛知県一宮市光明寺,1048万円,愛知県一宮市光明寺,ＪＲ東海道本線/尾張一宮駅 徒歩1分 バス19分,160.02m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_0d5c1626b1613f4891d17f4d8c6c974e/,2026-02-01
愛知県一宮市,愛知県一宮市大和町妙興寺,2490万円,愛知県一宮市大和町妙興寺,名鉄名古屋本線/妙興寺駅 徒歩14分,211.0m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_0d7f6497d9be322cb50bc6f5e82f0d51/,2026-02-01
愛知県一宮市,愛知県一宮市明地字江畔,50万円,愛知県一宮市明地字江畔,,167.0m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_0dac7225818331cc9e3d84ac668083c6/,2026-02-01
愛知県一宮市,愛知県一宮市千秋町浮野字唐畑,"3,580万円",愛知県一宮市千秋町浮野字唐畑,名鉄犬山線/石仏駅 徒歩37分,173.67m2,117.6m2,4LDK,1年10ヶ月,https://myhome.nifty.com/chuko-ikkodate/aichi/ichinomiyashi_ct/detail_0dc90d87dccb3d4e86c514169e130b19/,2026-02-01
愛知県一宮市,愛知県一宮市島村字辰已出,912万円,愛知県一宮市島村字辰已出,名鉄名古屋本線/名鉄一宮駅 徒歩4分 バス19分,201.0m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_0df2346bea623bb8b9d91133bcbeb1dc/,2026-02-01
愛知県一宮市,愛知県一宮市苅安賀１丁目,"2,590万円",愛知県一宮市苅安賀１丁目,名鉄尾西線/観音寺駅 徒歩6分,153.4m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_0dfc1ca96cc5382a85ba1d43c27f1ec1/,2026-02-01
愛知県一宮市,愛知県一宮市柳戸町２丁目,"2,390万円",愛知県一宮市柳戸町２丁目,名鉄名古屋本線/妙興寺駅 徒歩14分,142.08m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_0e0b5627c6dc335891a225e8c3076bfe/,2026-02-01
愛知県一宮市,愛知県一宮市木曽川町玉ノ井字寺東,"1,350万円",愛知県一宮市木曽川町玉ノ井字寺東,名鉄尾西線/玉ノ井駅 徒歩8分,240.15m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_0e2fc447e6553f7c84bf55ab74513584/,2026-02-01
愛知県一宮市,愛知県一宮市大志,2089万円,愛知県一宮市大志,名鉄名古屋本線/名鉄一宮駅 徒歩12分,91.04m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_0e31d99c6e6938a4810615a1e9fb0971/,2026-02-01
愛知県一宮市,愛知県一宮市浅井町河端,3980万円,愛知県一宮市浅井町河端,ＪＲ東海道本線/尾張一宮駅 徒歩9分 バス8分,1738.06m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_0e730ae8fad13d53ba80efe5e7c93127/,2026-02-01
愛知県一宮市,愛知県一宮市本町通８丁目,"2,990万円",愛知県一宮市本町通８丁目,JR東海道本線/尾張一宮駅 徒歩9分,163.76m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_0e77e49aa54f3211913ea9f4c0ccc3b7/,2026-02-01
愛知県一宮市,愛知県一宮市猿海道２丁目,"4,430万円",愛知県一宮市猿海道２丁目,名鉄名古屋本線/妙興寺駅 徒歩30分,166.73m2,128.61m2,4LDK,新築,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_14c3620e4c6e38a08ef792e5c5bff4ce/,2026-02-01
